id, value
1000, 1
16, 1
21, 1
300, 1
9, 1
AGAIN, 1
AH, 1
AIR, 1
Action, 1
Affair, 1
Ago, 1
Allright, 1
Amazing, 1
Ang, 1
BREAK, 1
Babe, 1
Back, 1
Bang, 1
Blame, 1
Blues, 1
Break, 1
CAT, 1
CATS, 1
CRACK, 1
CRUSH, 1
Car, 1
Chant, 1
Chic, 1
Child, 1
Close, 1
Cryin, 1
DA, 1
DESTINY, 1
Distance, 1
Drive, 1
Dry, 1
E, 1
EGO, 1
EVERY, 1
Each, 1
Eat, 1
Every, 1
Everything, 1
Everytime, 1
FOR, 1
FREE, 1
Fade, 1
Fascination, 1
FearOh, 1
Feed, 1
Flag, 1
Friends, 1
From, 1
Funky, 1
GAME, 1
GIVVE, 1
GOING, 1
GYM, 1
Gentle, 1
Guts, 1
HAZE, 1
HEY, 1
HORSE, 1
Haze, 1
Heaven, 1
Heavy, 1
Hip, 1
History, 1
Home, 1
Illusions, 1
Invitation, 1
Itsuka, 1
JAP, 1
JOB, 1
Jump, 1
KIDS, 1
KING, 1
KISSSee, 1
KO, 1
Kaminomanimani, 1
KaminomanimaniLONG, 1
Know, 1
L, 1
LIVE, 1
LOSER, 1
LOVING, 1
Last, 1
Latin, 1
Leaders, 1
Life, 1
Lock, 1
LockLet, 1
Loneliness, 1
Long, 1
Lots, 1
MAIL, 1
MISS, 1
MONDAY, 1
MORNIG, 1
MR, 1
MUCH, 1
Magic, 1
Makin, 1
May, 1
Moon, 1
Moonlight, 1
Movin, 1
Music, 1
Mv, 1
NAVIGATIONHands, 1
NOTHING, 1
Name, 1
Neon, 1
OK, 1
OOH, 1
OOOH, 1
OR, 1
Off, 1
Only, 1
Ooh, 1
Or, 1
Orange, 1
Other, 1
Our, 1
PAIN, 1
PURPLE, 1
Party, 1
Playing, 1
Pull, 1
Purple, 1
RAP, 1
RIDING, 1
RIPPER, 1
ROLLOMG, 1
Radio, 1
Rain, 1
Rainy, 1
Really, 1
Red, 1
SAY, 1
SEE, 1
SHA, 1
SHAKE, 1
SHINE, 1
SIZE, 1
SUN, 1
Sad, 1
Same, 1
Saturday, 1
Save, 1
Say, 1
Seventeen, 1
Shape, 1
ShowTime, 1
Slender, 1
Smile, 1
Somebody, 1
Sometimes, 1
Sorrow, 1
Standing, 1
Stare, 1
Still, 1
Stop, 1
Stranger, 1
Stream, 1
THUNDER, 1
Taxi, 1
That, 1
They, 1
Thinking, 1
Throw, 1
UH, 1
UP, 1
Uncivilized, 1
VERY, 1
WE, 1
WEEKEND, 1
WIND, 1
WITH, 1
Walking, 1
Was, 1
Watching, 1
Will, 1
YES, 1
Year, 1
Years, 1
aching, 1
ago, 1
allrightWake, 1
almost, 1
ang, 1
angel, 1
asleep, 1
attention, 1
bad, 1
badnews, 1
bitter, 1
blues, 1
boring, 1
breathe, 1
broadway, 1
busy, 1
cannot, 1
cast, 1
casual, 1
catch, 1
cause, 1
changed, 1
cheer, 1
chime, 1
choice, 1
closer, 1
clump, 1
comes, 1
communicationThought, 1
conversation, 1
cooking, 1
cooling, 1
country, 1
d, 1
dancing, 1
destination, 1
direction, 1
doing, 1
dress, 1
drive, 1
dumadaan, 1
even, 1
ever, 1
evil, 1
excess, 1
fade, 1
fault, 1
fears, 1
feeling, 1
feet, 1
fist, 1
floor, 1
friends, 1
funky, 1
game, 1
gave, 1
god, 1
graduate, 1
green, 1
gripping, 1
growing, 1
guess, 1
guy, 1
h, 1
hang, 1
hangin, 1
happens, 1
happy, 1
haze, 1
hiding, 1
him, 1
hold, 1
holds, 1
hot, 1
how, 1
ikaw, 1
incomplete, 1
itsura, 1
joy, 1
jump, 1
keeping, 1
keys, 1
kill, 1
killing, 1
kind, 1
kong, 1
lagi, 1
laging, 1
last, 1
laugh, 1
laughter, 1
learned, 1
left, 1
lies, 1
lifeLiving, 1
listen, 1
lot, 1
loud, 1
luck, 1
maalala, 1
madness, 1
main, 1
making, 1
masarap, 1
meHands, 1
meRain, 1
mean, 1
memory, 1
mess, 1
missin, 1
missing, 1
mistakes, 1
modern, 1
movin, 1
mystify, 1
nagiiba, 1
needs, 1
neon, 1
news, 1
ng, 1
nights, 1
nobody, 1
non, 1
nothin, 1
nowhere, 1
old, 1
ooh, 1
painted, 1
paralyzed, 1
part, 1
party, 1
passing, 1
past, 1
pay, 1
peace, 1
pick, 1
pickin, 1
play, 1
poor, 1
pretty, 1
prove, 1
raindrops, 1
raise, 1
ready, 1
realize, 1
reason, 1
revelation, 1
revolution, 1
romance, 1
